"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"active-paired","agents","cold-outreach-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\cold-outreach-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/cold-outreach-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","combined-voice-creator","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\combined-voice-creator","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/combined-voice-creator"
"quarantine-unpaired-or-legacy","skills","command-center","user global claude","6/18/2026 5:54:37 AM","quarantine\skills\command-center","unpaired or unmatched legacy asset",".claude/skills/command-center"
"quarantine-unpaired-or-legacy","skills","comment-to-crm-piper","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\comment-to-crm-piper","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/comment-to-crm-piper"
"quarantine-unpaired-or-legacy","skills","commitment-tracker","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\commitment-tracker","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/commitment-tracker"
"canonical-authority","skills","competitive-research-stinger","user global cursor","9/3/2026 6:49:42 AM","","canonical-authority",".cursor/skills/competitive-research-stinger"
"active-canonical","skills","competitive-research-stinger","vibe-coding-tools canonical","8/26/2026 3:09:23 PM","skills\competitive-research-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/competitive-research-stinger"
"active-canonical","agents","competitive-research-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:50:17 AM","agents\competitive-research-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/competitive-research-worker-bee.md"
"canonical-authority","agents","competitive-research-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/competitive-research-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","competitor-watch","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\competitor-watch","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/competitor-watch"
"active-canonical","hooks","component-validate.mjs","vibe-coding-tools canonical","8/14/2026 9:50:13 PM","hooks\component-validate.mjs","canonical baseline","GitHub/vibe-coding-tools/.claude/hooks/component-validate.mjs"
"canonical-authority","hooks","component-validate.mjs","user global codex","8/14/2026 9:50:13 PM","","canonical-authority",".codex/hooks/component-validate.mjs"
"quarantine-unpaired-or-legacy","skills","content-repurposer","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\content-repurposer","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/content-repurposer"
"superseded-legacy","agents","crm-integration-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/crm-integration-guardian.md"
"active-paired","skills","crm-integration-stinger","user global claude","6/18/2026 5:54:37 AM","skills\crm-integration-stinger","complete pair or additive non-pair asset",".claude/skills/crm-integration-stinger"
"superseded-legacy","skills","crm-integration-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/crm-integration-weapon"
"active-paired","agents","crm-integration-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\crm-integration-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/crm-integration-worker-bee.md"
"superseded-legacy","agents","cron-scheduling-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/cron-scheduling-guardian.md"
"active-canonical","skills","cron-scheduling-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\cron-scheduling-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/cron-scheduling-stinger"
"canonical-authority","skills","cron-scheduling-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/cron-scheduling-stinger"
"superseded-legacy","skills","cron-scheduling-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/cron-scheduling-weapon"
"active-canonical","agents","cron-scheduling-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\cron-scheduling-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/cron-scheduling-worker-bee.md"
"canonical-authority","agents","cron-scheduling-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/cron-scheduling-worker-bee.toml"
"superseded-legacy","agents","csv-xlsx-import-export-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/csv-xlsx-import-export-guardian.md"
