"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"active-paired","skills","product-feedback-roadmap-stinger","user global claude","6/18/2026 5:54:42 AM","skills\product-feedback-roadmap-stinger","complete pair or additive non-pair asset",".claude/skills/product-feedback-roadmap-stinger"
"superseded-legacy","skills","product-feedback-roadmap-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/product-feedback-roadmap-weapon"
"active-paired","agents","product-feedback-roadmap-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\product-feedback-roadmap-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/product-feedback-roadmap-worker-bee.md"
"superseded-legacy","agents","product-tour-onboarding-ui-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/product-tour-onboarding-ui-guardian.md"
"active-canonical","skills","product-tour-onboarding-ui-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\product-tour-onboarding-ui-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/product-tour-onboarding-ui-stinger"
"canonical-authority","skills","product-tour-onboarding-ui-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/product-tour-onboarding-ui-stinger"
"superseded-legacy","skills","product-tour-onboarding-ui-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/product-tour-onboarding-ui-weapon"
"active-canonical","agents","product-tour-onboarding-ui-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\product-tour-onboarding-ui-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/product-tour-onboarding-ui-worker-bee.md"
"canonical-authority","agents","product-tour-onboarding-ui-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/product-tour-onboarding-ui-worker-bee.toml"
"superseded-legacy","agents","python-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/python-guardian.md"
"active-canonical","skills","python-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\python-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/python-stinger"
"canonical-authority","skills","python-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/python-stinger"
"superseded-legacy","skills","python-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/python-weapon"
"active-canonical","agents","python-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\python-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/python-worker-bee.md"
"canonical-authority","agents","python-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/python-worker-bee.toml"
"superseded-legacy","agents","quality-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/quality-guardian.md"
"active-canonical","skills","quality-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\quality-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/quality-stinger"
"canonical-authority","skills","quality-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/quality-stinger"
"superseded-legacy","skills","quality-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/quality-weapon"
"active-canonical","agents","quality-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\quality-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/quality-worker-bee.md"
"canonical-authority","agents","quality-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/quality-worker-bee.toml"
"active-canonical","skills","queen-bee-stinger","vibe-coding-tools canonical","9/5/2026 8:53:32 AM","skills\queen-bee-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/queen-bee-stinger"
"canonical-authority","skills","queen-bee-stinger","vibe-coding-tools local agents","9/5/2026 8:53:32 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/queen-bee-stinger"
"canonical-authority","commands","re-research.md","vibe-coding-tools local cursor","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/commands/re-research.md"
"active-canonical","commands","re-research.md","vibe-coding-tools canonical","8/15/2026 4:13:36 AM","commands\re-research.md","canonical baseline","GitHub/vibe-coding-tools/.claude/commands/re-research.md"
"superseded-legacy","agents","react-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/react-guardian.md"
"active-canonical","skills","react-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\react-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/react-stinger"
"canonical-authority","skills","react-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/react-stinger"
"active-paired","skills","react-to-svelte-stinger","user global agents","9/4/2026 10:57:51 PM","skills\react-to-svelte-stinger","complete pair or additive non-pair asset",".agents/skills/react-to-svelte-stinger"
"active-paired","agents","react-to-svelte-worker-bee.md","user global agents","9/4/2026 10:45:38 PM","agents\react-to-svelte-worker-bee.md","complete pair or additive non-pair asset",".agents/agents/react-to-svelte-worker-bee.md"
"superseded-legacy","skills","react-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/react-weapon"
"active-canonical","agents","react-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\react-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/react-worker-bee.md"
"canonical-authority","agents","react-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/react-worker-bee.toml"
"superseded-legacy","agents","readme-writing-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/readme-writing-guardian.md"
"active-canonical","skills","readme-writing-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\readme-writing-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/readme-writing-stinger"
"canonical-authority","skills","readme-writing-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/readme-writing-stinger"
"superseded-legacy","skills","readme-writing-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/readme-writing-weapon"
"active-canonical","agents","readme-writing-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\readme-writing-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/readme-writing-worker-bee.md"
"canonical-authority","agents","readme-writing-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/readme-writing-worker-bee.toml"
"canonical-authority","commands","register.md","vibe-coding-tools local cursor","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/commands/register.md"
"active-canonical","commands","register.md","vibe-coding-tools canonical","8/15/2026 4:13:14 AM","commands\register.md","canonical baseline","GitHub/vibe-coding-tools/.claude/commands/register.md"
"quarantine-unpaired-or-legacy","skills","renewal-sentinel","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\renewal-sentinel","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/renewal-sentinel"
"quarantine-unpaired-or-legacy","skills","research-synthesizer","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\research-synthesizer","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/research-synthesizer"
"active-canonical","rules","respect-agent-work-boundaries.md","vibe-coding-tools canonical","8/14/2026 9:51:15 PM","rules\respect-agent-work-boundaries.md","canonical baseline","GitHub/vibe-coding-tools/.claude/rules/respect-agent-work-boundaries.md"
"canonical-authority","rules","respect-agent-work-boundaries.md","user global claude","8/14/2026 9:51:15 PM","","canonical-authority",".claude/rules/respect-agent-work-boundaries.md"
"active-canonical","skills","retrieval-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\retrieval-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/retrieval-stinger"
"canonical-authority","skills","retrieval-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/retrieval-stinger"
"active-canonical","agents","retrieval-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\retrieval-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/retrieval-worker-bee.md"
"canonical-authority","agents","retrieval-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/retrieval-worker-bee.toml"
"superseded-legacy","agents","retrospective-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/retrospective-guardian.md"
"active-canonical","skills","retrospective-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\retrospective-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/retrospective-stinger"
"canonical-authority","skills","retrospective-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/retrospective-stinger"
"superseded-legacy","skills","retrospective-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/retrospective-weapon"
"active-canonical","agents","retrospective-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\retrospective-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/retrospective-worker-bee.md"
"canonical-authority","agents","retrospective-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/retrospective-worker-bee.toml"
"superseded-legacy","agents","review-funnels-g2-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/review-funnels-g2-guardian.md"
"active-paired","skills","review-funnels-g2-stinger","user global claude","6/18/2026 5:54:43 AM","skills\review-funnels-g2-stinger","complete pair or additive non-pair asset",".claude/skills/review-funnels-g2-stinger"
"superseded-legacy","skills","review-funnels-g2-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/review-funnels-g2-weapon"
"active-paired","agents","review-funnels-g2-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\review-funnels-g2-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/review-funnels-g2-worker-bee.md"
"quarantine-unpaired-or-legacy","agents","router-model-grok-oauth-grok-4-5.toml","user global codex","8/19/2026 10:02:02 PM","quarantine\agents\router-model-grok-oauth-grok-4-5.toml","unpaired or unmatched legacy asset",".codex/agents/router-model-grok-oauth-grok-4-5.toml"
"quarantine-unpaired-or-legacy","agents","router-model-kimi-oauth-k3.toml","user global codex","8/19/2026 10:02:02 PM","quarantine\agents\router-model-kimi-oauth-k3.toml","unpaired or unmatched legacy asset",".codex/agents/router-model-kimi-oauth-k3.toml"
"quarantine-unpaired-or-legacy","agents","router-model-kimi-oauth-kimi-for-coding-highspeed.toml","user global codex","8/19/2026 10:02:02 PM","quarantine\agents\router-model-kimi-oauth-kimi-for-coding-highspeed.toml","unpaired or unmatched legacy asset",".codex/agents/router-model-kimi-oauth-kimi-for-coding-highspeed.toml"
"quarantine-unpaired-or-legacy","agents","router-model-kimi-oauth-kimi-for-coding.toml","user global codex","8/19/2026 10:02:02 PM","quarantine\agents\router-model-kimi-oauth-kimi-for-coding.toml","unpaired or unmatched legacy asset",".codex/agents/router-model-kimi-oauth-kimi-for-coding.toml"
"quarantine-unpaired-or-legacy","skills","routine-architect","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\routine-architect","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/routine-architect"
"superseded-legacy","agents","runbook-writing-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/runbook-writing-guardian.md"
"active-canonical","skills","runbook-writing-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\runbook-writing-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/runbook-writing-stinger"
"canonical-authority","skills","runbook-writing-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/runbook-writing-stinger"
"superseded-legacy","skills","runbook-writing-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/runbook-writing-weapon"
"active-canonical","agents","runbook-writing-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\runbook-writing-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/runbook-writing-worker-bee.md"
"canonical-authority","agents","runbook-writing-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/runbook-writing-worker-bee.toml"
"canonical-authority","skills","rust-stinger","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/skills/rust-stinger"
"active-canonical","skills","rust-stinger","vibe-coding-tools canonical","9/5/2026 9:53:41 AM","skills\rust-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/rust-stinger"
"canonical-authority","agents","rust-worker-bee.md","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/agents/rust-worker-bee.md"
"active-canonical","agents","rust-worker-bee.md","vibe-coding-tools canonical","9/5/2026 9:53:41 AM","agents\rust-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/rust-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","said-it-already","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\said-it-already","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/said-it-already"
"quarantine-unpaired-or-legacy","skills","screenpipe-api","user global claude","9/2/2026 3:15:36 AM","quarantine\skills\screenpipe-api","unpaired or unmatched legacy asset",".claude/skills/screenpipe-api"
"quarantine-unpaired-or-legacy","skills","screenpipe-cli","user global claude","8/29/2026 10:54:28 PM","quarantine\skills\screenpipe-cli","unpaired or unmatched legacy asset",".claude/skills/screenpipe-cli"
"quarantine-unpaired-or-legacy","agents","scripture-historian.md","legion-suite cursor","5/20/2026 11:51:57 PM","quarantine\agents\scripture-historian.md","unpaired or unmatched legacy asset","GitHub/legion-suite/.cursor/agents/scripture-historian.md"
"superseded-legacy","agents","security-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/security-guardian.md"
"active-canonical","skills","security-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\security-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/security-stinger"
"canonical-authority","skills","security-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/security-stinger"
"superseded-legacy","skills","security-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/security-weapon"
"active-canonical","agents","security-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\security-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/security-worker-bee.md"
"canonical-authority","agents","security-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/security-worker-bee.toml"
"active-canonical","skills","sentry-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\sentry-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/sentry-stinger"
"canonical-authority","skills","sentry-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/sentry-stinger"
"active-canonical","agents","sentry-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\sentry-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/sentry-worker-bee.md"
"canonical-authority","agents","sentry-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/sentry-worker-bee.toml"
"superseded-legacy","agents","seo-aeo-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/seo-aeo-guardian.md"
"active-canonical","skills","seo-aeo-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\seo-aeo-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/seo-aeo-stinger"
"canonical-authority","skills","seo-aeo-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/seo-aeo-stinger"
"superseded-legacy","skills","seo-aeo-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/seo-aeo-weapon"
"active-canonical","agents","seo-aeo-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\seo-aeo-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/seo-aeo-worker-bee.md"
"canonical-authority","agents","seo-aeo-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/seo-aeo-worker-bee.toml"
"canonical-authority","skills","shadcn-svelte-stinger","user global agents","9/4/2026 10:48:42 PM","","canonical-authority",".agents/skills/shadcn-svelte-stinger"
"active-canonical","skills","shadcn-svelte-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\shadcn-svelte-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/shadcn-svelte-stinger"
"active-canonical","agents","shadcn-svelte-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\shadcn-svelte-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/shadcn-svelte-worker-bee.md"
"canonical-authority","agents","shadcn-svelte-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/shadcn-svelte-worker-bee.toml"
"canonical-authority","commands","ship-gate.md","vibe-coding-tools local cursor","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/commands/ship-gate.md"
"active-canonical","commands","ship-gate.md","vibe-coding-tools canonical","8/15/2026 4:13:02 AM","commands\ship-gate.md","canonical baseline","GitHub/vibe-coding-tools/.claude/commands/ship-gate.md"
"quarantine-unpaired-or-legacy","skills","skill-suggester","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\skill-suggester","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/skill-suggester"
"superseded-legacy","agents","slack-app-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/slack-app-guardian.md"
"active-canonical","skills","slack-app-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\slack-app-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/slack-app-stinger"
"canonical-authority","skills","slack-app-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/slack-app-stinger"
"superseded-legacy","skills","slack-app-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/slack-app-weapon"
"active-canonical","agents","slack-app-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\slack-app-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/slack-app-worker-bee.md"
"canonical-authority","agents","slack-app-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/slack-app-worker-bee.toml"
"superseded-legacy","agents","social-media-marketing-organic-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/social-media-marketing-organic-guardian.md"
"active-paired","skills","social-media-marketing-organic-stinger","user global claude","6/18/2026 5:54:43 AM","skills\social-media-marketing-organic-stinger","complete pair or additive non-pair asset",".claude/skills/social-media-marketing-organic-stinger"
"superseded-legacy","skills","social-media-marketing-organic-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/social-media-marketing-organic-weapon"
"active-paired","agents","social-media-marketing-organic-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\social-media-marketing-organic-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/social-media-marketing-organic-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","sop-forge","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\sop-forge","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/sop-forge"
"superseded-legacy","agents","status-page-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/status-page-guardian.md"
"active-canonical","skills","status-page-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\status-page-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/status-page-stinger"
"canonical-authority","skills","status-page-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/status-page-stinger"
"superseded-legacy","skills","status-page-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/status-page-weapon"
"active-canonical","agents","status-page-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\status-page-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/status-page-worker-bee.md"
"canonical-authority","agents","status-page-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/status-page-worker-bee.toml"
"active-additive","hooks","summary-state","user global claude","7/19/2026 9:14:31 PM","hooks\summary-state","complete pair or additive non-pair asset",".claude/hooks/summary-state"
"canonical-authority","skills","support-response-stinger","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/skills/support-response-stinger"
"quarantine-unpaired-or-legacy","skills","support-response-stinger","vibe-coding-tools canonical","9/4/2026 4:23:40 AM","quarantine\skills\support-response-stinger","unpaired or unmatched legacy asset","GitHub/vibe-coding-tools/.claude/skills/support-response-stinger"
"canonical-authority","skills","svelte-stinger","user global agents","9/4/2026 10:48:41 PM","","canonical-authority",".agents/skills/svelte-stinger"
"active-canonical","skills","svelte-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\svelte-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/svelte-stinger"
"active-canonical","agents","svelte-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\svelte-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/svelte-worker-bee.md"
"canonical-authority","agents","svelte-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/svelte-worker-bee.toml"
"active-canonical","skills","tailscale-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\tailscale-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/tailscale-stinger"
"canonical-authority","skills","tailscale-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/tailscale-stinger"
"active-canonical","agents","tailscale-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\tailscale-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/tailscale-worker-bee.md"
"canonical-authority","agents","tailscale-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/tailscale-worker-bee.toml"
"active-canonical","skills","tailwind-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\tailwind-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/tailwind-stinger"
"canonical-authority","skills","tailwind-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/tailwind-stinger"
"active-canonical","agents","tailwind-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\tailwind-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/tailwind-worker-bee.md"
"canonical-authority","agents","tailwind-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/tailwind-worker-bee.toml"
"active-canonical","skills","tanstack-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\tanstack-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/tanstack-stinger"
"canonical-authority","skills","tanstack-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/tanstack-stinger"
"active-canonical","agents","tanstack-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\tanstack-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/tanstack-worker-bee.md"
"canonical-authority","agents","tanstack-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/tanstack-worker-bee.toml"
"canonical-authority","skills","tauri-stinger","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/skills/tauri-stinger"
"active-canonical","skills","tauri-stinger","vibe-coding-tools canonical","9/5/2026 9:53:41 AM","skills\tauri-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/tauri-stinger"
"canonical-authority","agents","tauri-worker-bee.md","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/agents/tauri-worker-bee.md"
"active-canonical","agents","tauri-worker-bee.md","vibe-coding-tools canonical","9/5/2026 9:53:41 AM","agents\tauri-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/tauri-worker-bee.md"
"superseded-legacy","agents","technical-writing-craft-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/technical-writing-craft-guardian.md"
